node,community
CG3358,0
CG1550,0
MSI,1
TBPH,1
DNAPOL-ETA,2
REV1,3
CG1673,4
EIP55E,4
RRP42,5
MRPL3,6
SKI6,5
CG31211,7
PNN,8
CG11779,9
MRPL4,9
EBI-2109280,9
CG8790,9
SAR1,1
CG10602,9
CORO,3
SKPE,3
CG9602,3
EBI-2111454,8
CAP,8
CG7433,10
CG6738,10
MTL,11
CG30158,11
CG14211,11
RHOL,11
CG5290,11
CG10089,11
CG5224,12
CG5757,12
CG11837,4
CG1381,4
CG7339,4
CG9630,13
CG11255,4
SYX8,11
CG1662,11
SYX7,11
SYX17,11
CG1140,14
CG11796,14
APEPP,9
CYCG,3
CG10778,4
SUG,4
SYX6,11
TRAM,15
SEC61BETA,15
PCL,16
CG32626,16
YIP2,17
SP7,17
CG6254,8
PMM45A,8
SPT3,4
CG15398,4
IX,4
MED8,4
ELONGIN-C,4
CG13920,4
CG1407,4
EBI-2110591,4
CG34377,18
PPOX,18
CG9117,1
CG30440,1
KHC-73,13
REGUCALCIN,13
CG3713,3
CA-ALPHA1T,0
CG7945,1
CG11380,1
ICS,6
STCK,6
CG1607,0
CG11669,0
DCP2,13
PLD,13
CG17639,12
RBP9,1
CG8219,13
ZFRP8,1
CG3774,1
CG11347,19
CG5792,8
CG8316,20
EBI-94564,6
CG8228,13
RPL24,19
PTC,3
PGANT6,18
CG17826,6
VHA26,1
TCTP,1
ACT42A,1
CG13630,1
NUP133,3
TAF1,16
CG15059,8
CG13733,8
PER,13
EBI-266326,13
DREF,16
CHER,18
CG14224,1
CG11674,1
EBI-1628353,18
CG13030,0
SKPA,3
CRN,8
CG11138,1
CG6923,3
SPRI,1
CG9572,6
ALAS,13
CG32086,8
CI,19
CG11418,19
SEC10,13
CG2446,1
CYP6V1,6
RPS25,6
CSTF-64,1
CG9184,1
CG8368,1
CG14534,1
TIM9A,20
CG3528,6
CG2941,9
CG8366,9
SLO,13
EBI-424896,13
CG14145,8
POXM,19
CG5073,1
P53,3
GS,6
CENG1A,3
EBI-208011,8
CG5514,0
BIN1,16
TTK,18
CG6486,18
UBCD2,0
CG4611,0
CG8128,3
AKT1,3
CG7548,1
RHEA,11
SYB,11
CG1135,8
CG9911,6
MED15,3
E2F2,3
CG11881,8
EBI-213208,1
CG1894,5
CG8446,13
CG32772,12
FAX,14
CG6972,8
CG3213,8
CDK5,3
DFD,3
FLW,20
SPINDLY,20
CG9797,8
EBI-149916,8
CG9581,2
HSP22,2
TOS,6
DX,8
MRPS17,0
CG1319,0
SPIR,1
RDX,6
TRAF3,8
RPL35A,8
STC,1
C901,6
DPN,18
EBI-90739,1
MLF,19
CG3021,19
EBI-136574,21
RPS16,13
EBI-166329,8
CG8065,8
CYCK,3
ARA,3
CG8784,1
EBI-75958,16
CG13678,8
CG14840,8
EBI-106701,17
SMT3,17
EBI-226689,13
CG6428,3
CG17219,3
