node,community
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,4
8,7
9,8
10,9
11,10
12,4
13,11
14,10
15,0
16,9
17,12
18,13
19,6
20,6
21,13
22,14
23,15
24,3
25,7
26,5
27,16
28,6
29,17
30,18
31,19
32,20
33,7
34,6
35,14
36,5
37,16
38,6
39,20
40,0
41,9
42,10
43,21
44,0
45,0
46,20
47,16
48,0
49,7
50,9
51,13
52,4
53,21
54,20
55,13
56,4
57,13
58,13
59,22
60,11
61,2
62,7
63,14
64,13
65,3
66,9
67,12
68,0
69,10
70,1
71,7
72,22
73,6
74,16
75,6
76,12
77,23
78,12
79,7
80,16
81,7
82,0
83,9
84,5
85,23
86,10
87,6
88,7
89,13
90,0
91,15
92,18
93,15
94,1
95,5
96,7
97,1
98,0
99,14
100,10
101,15
102,7
103,16
104,0
105,14
106,14
107,24
108,12
109,4
110,10
111,0
112,21
113,2
114,7
115,25
116,7
117,12
118,0
119,6
120,12
121,13
122,7
123,11
124,7
125,26
126,0
127,1
128,12
129,2
130,21
131,6
132,0
133,12
134,6
135,7
136,1
137,14
138,14
139,14
140,17
141,17
142,23
143,12
144,5
145,23
146,0
147,6
148,22
149,12
150,9
151,9
152,15
153,11
154,27
155,5
156,25
157,16
158,16
159,0
160,15
161,8
162,5
163,5
164,13
165,0
166,0
167,15
168,10
169,3
170,13
171,0
172,2
173,12
174,21
175,10
176,2
177,13
178,9
179,4
180,1
181,10
182,10
183,14
184,22
185,28
186,18
187,10
188,2
189,13
190,23
191,10
192,0
193,0
194,21
195,6
196,0
197,14
198,12
199,2
200,16
201,15
202,3
203,13
204,24
205,6
206,8
207,23
208,9
209,18
210,8
211,12
212,0
213,16
214,5
215,26
216,13
217,0
218,9
219,16
220,13
221,2
222,24
223,20
224,10
225,1
226,6
227,15
228,13
229,1
230,13
231,27
232,7
233,1
234,0
235,16
236,23
237,16
238,2
239,5
240,18
241,15
242,23
243,22
244,15
245,23
246,11
247,10
248,2
249,25
250,18
251,13
252,16
253,1
254,2
255,27
256,0
257,23
258,6
259,14
260,7
261,12
262,7
263,7
264,18
265,5
266,13
267,29
268,15
269,15
270,21
271,10
272,21
273,27
274,9
275,7
276,13
277,2
278,15
279,9
280,13
281,26
282,18
283,23
284,15
285,25
286,13
287,6
288,16
289,0
290,10
291,7
292,23
293,27
294,12
295,6
296,10
297,19
298,7
299,3
300,8
301,19
302,23
303,15
304,6
305,10
306,16
307,13
308,7
309,26
310,10
311,6
312,1
313,27
314,0
315,21
316,2
317,1
318,7
319,5
320,20
321,10
322,11
323,6
324,0
325,6
326,10
327,0
328,7
329,15
330,8
331,3
332,13
333,7
334,26
335,10
336,0
337,13
338,10
339,7
340,17
341,3
342,0
343,10
344,2
345,9
346,25
347,21
348,20
349,13
350,25
351,14
352,7
353,6
354,23
355,21
356,5
357,4
358,6
359,17
360,8
361,0
362,0
363,15
364,7
365,12
366,8
367,10
368,6
369,11
370,10
371,16
372,10
373,16
374,5
375,5
376,16
377,10
378,5
379,9
380,21
381,0
382,5
383,7
384,6
385,8
386,21
387,10
388,25
389,15
390,0
391,10
392,23
393,0
394,4
395,9
396,26
397,6
398,26
399,9
400,1
401,9
402,5
403,22
404,5
405,18
406,2
407,5
408,5
409,18
410,9
411,15
412,4
413,23
414,6
415,12
416,11
417,25
418,16
419,24
420,10
421,13
422,0
423,10
424,9
425,7
426,12
427,10
428,22
429,11
430,10
431,14
432,1
433,10
434,13
435,10
436,16
437,17
438,0
439,23
440,18
441,2
442,4
443,7
444,1
445,23
446,7
447,21
448,14
449,2
450,1
451,15
452,20
453,10
454,17
455,14
456,13
457,6
458,5
459,2
460,16
461,26
462,6
463,5
464,14
465,1
466,27
467,6
468,6
469,9
470,25
471,13
472,0
473,26
474,13
475,6
476,16
477,10
478,7
479,15
480,13
481,9
482,15
483,1
484,10
485,26
486,15
487,0
488,7
489,10
490,25
491,23
492,5
493,18
494,27
495,5
496,7
497,9
498,12
499,12
500,15
501,0
502,5
503,6
504,7
505,23
506,20
507,2
508,4
509,18
510,4
511,15
512,9
513,6
514,16
515,15
516,9
517,18
518,4
519,25
520,14
521,6
522,15
523,10
524,10
525,26
526,1
527,22
528,7
529,25
530,6
531,18
532,23
533,1
534,11
535,12
536,7
537,2
538,0
539,12
540,0
541,18
542,0
543,27
544,3
545,21
546,0
547,18
548,15
549,23
550,3
551,24
552,2
553,25
554,5
555,13
556,1
557,14
558,1
559,21
560,3
561,6
562,12
563,2
564,10
565,9
566,9
567,7
568,6
569,7
570,4
571,10
572,7
573,17
574,22
575,6
576,5
577,7
578,16
579,18
580,2
581,9
582,25
583,10
584,19
585,8
586,12
587,14
588,14
589,26
590,13
591,10
592,10
593,26
594,14
595,17
596,6
597,22
598,1
599,15
600,6
601,10
602,15
603,5
604,1
605,1
606,10
607,19
608,0
609,23
610,23
611,14
612,13
613,2
614,16
615,0
616,20
617,13
618,12
619,0
620,0
621,30
622,27
623,0
624,7
625,18
626,12
627,10
628,16
629,23
630,12
631,20
632,4
633,16
634,16
635,23
636,6
637,25
638,7
639,11
640,0
641,13
642,16
643,26
644,21
645,15
646,0
647,3
648,8
649,26
650,21
651,6
652,13
653,26
654,1
655,2
656,5
657,15
658,16
659,12
660,15
661,5
662,23
663,15
664,6
665,10
666,1
667,2
668,25
669,21
670,6
671,3
672,10
673,0
674,1
675,14
676,13
677,6
678,3
679,10
680,12
681,6
682,10
683,10
684,20
685,2
686,6
687,3
688,1
689,7
690,20
691,4
692,23
693,13
694,6
695,13
696,13
697,12
698,11
699,9
700,1
701,13
702,4
703,18
704,6
705,27
706,11
707,16
708,6
709,21
710,14
711,4
712,4
713,15
714,3
715,11
716,25
717,3
718,2
719,1
720,20
721,13
722,10
723,9
724,21
725,11
726,21
727,6
728,15
729,23
730,8
731,0
732,25
733,4
734,21
735,2
736,3
737,6
738,26
739,0
740,13
741,9
742,6
743,8
744,7
745,22
746,24
747,22
748,15
749,2
750,22
751,12
752,10
753,21
754,22
755,6
756,3
757,9
758,2
759,10
760,27
761,3
762,12
763,22
764,13
765,7
766,14
767,9
768,7
769,10
770,19
771,7
772,6
773,7
774,11
775,14
776,26
777,11
778,16
779,12
780,16
781,3
782,6
783,8
784,21
785,15
786,17
787,8
788,14
789,7
790,10
791,23
792,4
793,21
794,10
795,0
796,11
797,13
798,15
799,26
800,3
801,16
802,6
803,7
804,11
805,23
806,16
807,24
808,12
809,13
810,5
811,10
812,6
813,5
814,0
815,5
816,11
817,9
818,13
819,10
820,8
821,9
822,6
823,27
824,13
825,27
826,12
827,23
828,25
829,7
830,16
831,25
832,1
833,10
834,6
835,24
836,7
837,13
838,6
839,27
840,10
841,2
842,6
843,3
844,12
845,10
846,10
847,7
848,14
849,4
850,24
851,13
852,14
853,12
854,2
855,7
856,6
857,13
858,21
859,11
860,5
861,12
862,14
863,12
864,13
865,5
866,18
867,15
868,0
869,10
870,14
871,19
872,21
873,15
874,12
875,10
876,23
877,5
878,18
879,22
880,18
881,16
882,3
883,13
884,23
885,5
886,5
887,23
888,15
889,3
890,13
891,15
892,21
893,27
894,7
895,19
896,7
897,14
898,2
899,13
900,18
901,6
902,0
903,6
904,25
905,6
906,1
907,0
908,11
909,12
910,2
911,7
912,9
913,1
914,6
915,12
916,2
917,10
918,0
919,9
920,2
921,3
922,21
923,1
924,11
925,6
926,7
927,3
928,1
929,9
930,0
931,21
932,15
933,9
934,12
935,2
936,10
937,7
938,11
939,1
940,15
941,6
942,23
943,2
944,18
945,5
946,14
947,3
948,7
949,12
950,2
951,7
952,2
953,13
954,15
955,20
956,13
957,2
958,25
959,13
960,18
961,7
962,4
963,1
964,6
965,26
966,5
967,1
968,0
969,13
970,15
971,13
972,5
973,7
974,7
975,9
976,1
977,16
978,4
979,10
980,13
981,7
982,13
983,9
984,13
985,6
986,10
987,11
988,15
989,12
990,24
991,21
992,8
993,25
994,5
995,12
996,10
997,5
998,2
999,14
1000,26
1001,0
1002,13
1003,12
1004,12
1005,13
1006,0
1007,13
1008,0
1009,18
1010,20
1011,5
1012,11
1013,26
1014,13
1015,20
1016,13
1017,25
1018,0
1019,7
1020,2
1021,10
1022,6
1023,10
1024,16
1025,9
1026,7
1027,0
1028,25
1029,6
1030,0
1031,4
1032,11
1033,9
1034,18
1035,24
1036,0
1037,1
1038,1
1039,26
1040,16
1041,16
1042,15
1043,6
1044,27
1045,10
1046,13
1047,1
1048,3
1049,7
1050,7
1051,1
1052,6
1053,18
1054,5
1055,14
1056,7
1057,27
1058,9
1059,27
1060,25
