node,community
CG3358,0
CG1550,0
MSI,0
TBPH,0
DNAPOL-ETA,1
REV1,2
CG1673,3
EIP55E,3
RRP42,4
MRPL3,4
SKI6,4
CG31211,5
PNN,6
CG11779,7
MRPL4,7
EBI-2109280,7
CG8790,7
SAR1,0
CG10602,7
CORO,2
SKPE,2
CG9602,2
EBI-2111454,6
CAP,6
CG7433,5
CG6738,5
MTL,5
CG30158,5
CG14211,5
RHOL,5
CG5290,5
CG10089,5
CG5224,8
CG5757,8
CG11837,3
CG1381,3
CG7339,3
CG9630,3
CG11255,3
SYX8,9
CG1662,9
SYX7,9
SYX17,9
CG1140,10
CG11796,10
APEPP,7
CYCG,2
CG10778,3
SUG,3
SYX6,9
TRAM,11
SEC61BETA,11
PCL,12
CG32626,12
YIP2,10
SP7,10
CG6254,6
PMM45A,6
GSTD7,13
CG3226,13
CG6015,13
SPT3,4
CG15398,4
EBI-2108549,14
CG5561,14
IX,15
MED8,15
ELONGIN-C,15
CG13920,11
CG1407,11
EBI-2110591,3
CG34377,8
PPOX,8
CG3544,16
CG4970,16
CG9117,0
CG30440,0
KHC-73,17
REGUCALCIN,17
CG6083,18
CG12499,18
CG3713,2
CA-ALPHA1T,2
CG7945,19
CG11380,0
ICS,19
STCK,6
CG1607,11
CG11669,11
DCP2,0
PLD,0
CG17639,8
RBP9,0
CG8219,10
ZFRP8,4
CG3774,4
CG4036,20
CG1941,20
CG11347,5
CG5792,6
CG8316,15
EBI-94564,19
CG8228,21
RPL24,21
PTC,2
PGANT6,11
CG17826,19
VHA26,7
TCTP,6
ACT42A,0
CG13630,0
NUP133,2
TAF1,12
CG15059,6
CG13733,6
PER,3
EBI-266326,3
DREF,7
CHER,22
CG14224,0
CG11674,0
EBI-1628353,8
CG13030,19
SKPA,2
CRN,6
CG11138,0
CG6923,2
SPRI,19
CG9572,19
ALAS,17
CG32086,6
CI,3
CG11418,3
SEC10,17
CG2446,0
CYP6V1,6
RPS25,6
CSTF-64,0
CG9184,0
CG8368,0
CG14534,2
TIM9A,22
CG3528,19
CG2941,7
CG8366,7
SLO,3
EBI-424896,3
CG14145,6
POXM,17
CG5073,0
P53,2
GS,19
CENG1A,2
EBI-208011,6
CG5514,12
BIN1,12
TTK,22
CG6486,4
UBCD2,8
CG4611,8
CG8128,2
AKT1,2
CG7548,0
RHEA,9
SYB,9
CG1135,6
CG9911,6
MED15,2
E2F2,2
CG11881,6
EBI-213208,0
CG1894,4
CG8446,4
CG32772,5
FAX,5
CG6972,6
CG3213,6
CDK5,2
DFD,2
FLW,15
SPINDLY,15
CG9797,6
EBI-149916,6
CG9581,22
HSP22,22
TOS,6
DX,6
MRPS17,11
CG1319,11
SPIR,17
RDX,6
TRAF3,6
RPL35A,6
STC,0
C901,19
DPN,23
EBI-90739,0
MLF,7
CG3021,24
EBI-136574,24
RPS16,24
EBI-166329,6
CG8065,6
CYCK,2
