CG3358 CG1550
MSI TBPH
DNAPOL-ETA REV1
CG1673 EIP55E
RRP42 MRPL3
RRP42 SKI6
CG31211 PNN
CG11779 MRPL4
EBI-2109280 CG8790
EBI-2109280 SAR1
EBI-2109280 CG10602
CORO SKPE
CG9602 SKPE
EBI-2111454 CAP
CG7433 CG6738
MTL CG30158
CG14211 CG30158
CG30158 RHOL
CG5290 CG30158
CG10089 CG30158
CG5224 CG5757
CG11837 CG1381
CG7339 CG1381
CG1381 CG9630
CG1381 CG11255
SYX8 CG1662
SYX7 SYX8
SYX17 SYX8
CG1140 CG11796
APEPP CG10602
CYCG APEPP
EIP55E CG10778
SUG EIP55E
CG11255 EIP55E
SYX6 SYX17
TRAM SEC61BETA
PCL CG32626
YIP2 SP7
CG6254 PMM45A
GSTD7 CG3226
CG6015 CG3226
SPT3 CG15398
EBI-2108549 CG5561
IX MED8
MED8 ELONGIN-C
CG13920 CG1407
EBI-2110591 CG7339
CG34377 PPOX
CG3544 CG4970
CG9117 CG30440
KHC-73 REGUCALCIN
CG6083 CG12499
CG3713 CA-ALPHA1T
CG7945 CG11380
ICS STCK
CG1607 CG11669
DCP2 PLD
CG17639 CG5224
RBP9 CG8219
CG8219 TBPH
ZFRP8 CG3774
CG4036 CG1941
CG11347 CG5792
CG8316 EBI-94564
CG8228 RPL24
PTC PGANT6
CG17826 EBI-94564
VHA26 TCTP
ACT42A CG13630
NUP133 TAF1
CG15059 CG13733
PER EBI-266326
DREF CHER
CG14224 CG11674
EBI-1628353 CG13030
SKPA CRN
CG11138 CG6923
SPRI CG9572
ALAS CG32086
CI CG11418
SEC10 CG2446
CYP6V1 RPS25
CSTF-64 CG9184
CG8368 CG14534
TIM9A CG3528
CG2941 CG8366
SLO EBI-424896
CG14145 CG14145
POXM CG5073
P53 GS
CI CENG1A
EBI-208011 EBI-208011
CG5514 BIN1
TTK CG6486
UBCD2 CG4611
CG8128 CRN
AKT1 CG7548
RHEA SYB
CG1135 CG9911
MED15 E2F2
CG11881 EBI-213208
CG1894 CG8446
CG32772 FAX
CG6972 CG3213
CDK5 DFD
FLW SPINDLY
CG9797 EBI-149916
CG9581 HSP22
TOS DX
MRPS17 CG1319
SPIR RDX
TRAF3 RPL35A
STC C901
DPN EBI-90739
MLF CG3021
EBI-136574 RPS16
EBI-166329 CG8065
CYCK ARA
CG8784 EBI-75958
CG13678 CG14840
EBI-106701 SMT3
EBI-226689 CG6428
CG17219 CG7139
CG13373 BCD
CG9331 CG4617
CG4813 UBCD2
CG10694 CUP
SUV4-20 RDX
EBI-208662 E(BX)
CG3689 CG10263
CG31999 ENA
SH3PX1 SMB
CG12558 EBI-129626
SYX16 CG8228
EBI-119138 WEE
CG3884 CG10527
CG7182 UBA2
E2F2 SNS
CDC14 CG4673
MST98CA CG10154
MST98CA CG7017
CG11905 RPS29
BAM BGCN
MOE EAST
LUSH CG7208
CPR35B CG8942
KLC TGO
SUUR CG18563
EBI-218484 CAM
CG3294 CG10918
EBI-197099 CG17826
ME31B YPS
ALIX MRPS7
CG9121 BETATUB56D
CG2926 CG3654
LOLAL BIP2
CG5642 GSTD9
CG11769 CG5386
PUF68 CG13030
CG32369 CG15646
CG6945 SOD
CG9986 EBI-124402
EBI-163776 EBI-181271
CG9014 CPA
CG1647 WDB
EBI-88363 EBI-117463
HMX MRPL27
CG5665 CG11486
RAB6 TTK
CG17085 CG11382
CG8963 CG5665
PIF1A CG13488
BSG25D ROGDI
EIF4E-5 CPR64AD
EVE SGG
RAB6 CANA-14F
TBPH CG17221
EBI-458558 CENG1A
CG32369 EBI-134407
MBS CG3071
C15 CG12393
EBI-153308 CG6509
CG6511 PAT1
EBI-201372 CG32809
CG5050 CRC
CG11596 CG8928
CG6429 ZFH1
EBI-208662 ZFH1
EBI-163074 CG11164
SAK SPN-A
CPN POD1
CG11566 P115
VHASFD RAB2
EBI-195768 EBI-84464
AKT1 CSK
INVADOLYSIN SR-CIV
EBI-208282 PHDP
REV7 TAMO
CG31302 CG15422
EBI-106701 MRPS5
CG18088 RPL18A
EBI-165118 EBI-122776
RAD50 BTBVII
ORB2 CG5968
CG9572 CPR64AD
CG14868 CG4925
MSL-1 STUMPS
MER SRY-DELTA
EBI-159623 CG9392
EBI-442216 VHAAC39
EBI-121150 CG12470
STEP CG10627
PRM CG4095
TTK EBI-162459
CUP EIF4AIII
CG7357 MRPS18A
CG30158 RALA
CG13245 SURF4
EBI-206607 CG10750
P53 CG5568
EBI-212395 CG31973
CG17568 RPL15
CG7656 SKPA
CG11327 CG31676
CPR35B CG4511
EBI-168856 DPR17
EBI-195768 SYX16
CG14367 SBR
CG14820 CG1504
CG4282 LARK
VND RPS12
SO EBI-209714
CG13084 CCTGAMMA
SYX4 CG7379
PHL TOR
PP1ALPHA-96A ORI
EBI-161016 CG13512
STAU RPS16
EBI-85713 CG8159
EBI-190547 EBI-206443
RBP9 CG4887
EBI-92995 SMN
HRB87F SXL
EBI-209001 CSTF-64
CYCJ CG15676
EBI-162306 CG8924
PIE CG10616
OR9A TINC
EBI-90118 CG12470
CG4612 ELAV
ALD SC35
CG8128 CG4496
PAR-1 CG8776
CG11760 EBI-198595
EBI-497141 CG15631
CG5053 WTS
PEN EBI-102564
AGO M(2)21AB
CG18591 RTF1
CG30428 SIP1
MED4 CG7600
CPR92A CG1116
D19A CG8863
CG15576 MAD2
EBI-198251 PK17E
CG11768 LOLAL
CG7970 CG6398
CG8128 CG11266
CG11539 CP15
CG11776 L(2)06496
BEST2 CG15514
FCP3C L(2)37CC
CG9573 EBI-283674
EXOSC2 RRP45
CG7406 CG12470
CG14632 CG1091
EBI-234969 REPT
SLD5 HOIP
EBI-107661 CG17162
ALPHA-SPEC CG11449
EBI-209714 GRASP65
CG9399 SDHB
CG11265 EBI-167518
CG13287 CG3731
NEJ E5
CG11327 CG14990
AUX CG8942
CHIP CG11909
CI TROL
UBX AL
CG12641 EBI-198120
CG9986 MND
BY POLO
CG11656 CG16826
SLD5 NINAE
MAM STV
EIF4E-5 CG31619
PPL USNP
EBI-134581 LOLAL
M4 CG6792
MNB DOA
CG4617 CG18815
CG14254 EBI-90335
RHOGAP92B SKL
LIM3 CG8813
CG32626 CG8620
CG9624 CG30497
CG3295 CG3295
CG12393 JBUG
CTP CG33213
CNO DSH
RBSN GNU
CG31482 CG2656
BEAT-IIB EBI-255760
ARU CG14126
CKS85A PHDP
KLC CG9121
SNAPIN TSR
CG6607 CG3492
CG14534 CG12018
TAM DNAPOL-GAMMA35
SU(H) H
CG7080 EBI-199389
EBI-176690 CG1142
MRPL50 CG17494
CG17599 CHT2
FZO CG10654
TBPH CG12645
CG15525 EBI-226689
CG8292 VHA14
MER TRN
EBI-101869 L(3)NEO38
CTBP DANR
SMT3 TTK
CG5987 CG17108
CG6945 AAY
CDC2C EBI-194749
MED20 CG14647
ACP29AB CG31999
CG7945 EBI-129626
EBI-172583 CG5625
CG14204 EBI-200614
CG17570 CG14145
EBI-190441 CG15211
GAMMACOP RPS26
EBI-197717 EBI-200614
SALA CG9572
CG8446 CG14011
CG17778 PEN-2
TSP CG33980
S6KII GNU
CG14512 GRIP
CG3199 CG6792
CPR35B CG10650
ACT88F CHIC
CG5111 CG7172
CG15525 ED
EBI-125339 RPL23A
CG12428 CG3621
CG11905 FHOS
EBI-127547 HALE
CG9796 CG10990
DX CG4617
OATP74D CG10732
EBI-197099 CG32036
RTGEF CG6607
CG4570 CG15011
CG3225 HSP83
CG8942 MUS312
CG13625 CG4865
EBI-176690 CRP
HOE1 CANA1
CP190 SU(HW)
CG14543 CG14153
FCP3C DLG1
HR78 HR78
PBGS PBGS
CG14089 CG5390
MED17 MED31
CG16884 CG12861
CG13293 CG12985
EBI-105436 VPS36
RST CG10494
CG7427 SKPA
REV7 ARA
CRN EBI-128425
CG15443 CG8359
MER EBI-150373
ELFLESS RPS17
CG4968 CG11164
SRY-ALPHA ZIP
SIP1 CG2218
CG13379 AWD
CG11881 EBI-163004
EBI-90739 FUR2
EBI-92440 ZORMIN
PDE9 EBI-109582
EBI-119138 CYP1
LOQS EBI-94206
CG12470 CG31029
EBI-451425 CG31919
CG14235 EBI-116936
CG7069 LAM
CG9522 EBI-112975
NEOS TOM34
TTK PHYL
CG15580 EBI-168011
RBP9 CG12985
GAMMASNAP PP2A-29B
TOS CG14643
GFT DNAPOL-IOTA
EBI-199603 CG9196
EBI-219164 EBI-219149
EBI-119138 HSP23
EBI-159398 PASHA
CG4771 MST33A
HEPH CG11138
EBI-149916 EBI-149916
ZORMIN EBI-127204
DUTPASE GV1
FD64A TSP97E
CG2116 CG11076
EBI-75953 EBI-184456
BYS TFIIEALPHA
A CG12470
DIP-B EBI-185330
GRIM SERP
CG7967 CG32581
CG14982 HOMER
CG5089 CG15370
CG16972 CG8460
TERM EBI-82680
CBP20 CG7185
ADA2B EIF2B-BETA
INVADOLYSIN CG6508
CG10262 DLL
HPO ARET
CG17826 CG3654
SEC5 HRG
TAMO VM26AB
EBI-132258 MIT(1)15
CG12446 CG17666
COMM NEDD4
AEF1 CG2199
CG6905 EBI-102833
CG17666 MUS209
EBI-109477 VHA68-2
EBI-89218 CNN
CG7942 P115
CG17450 EBI-179816
CG15576 CG8508
DNAPOL-ALPHA73 FANCL
EBI-128385 CG4065
BRD8 CG9426
CG10053 CG15631
EIF4E-7 CG2950
E2F2 ENA
LD14 SBA
CG14692 RPR
CG10531 RTNL1
L(2)K10201 CG15443
CG11489 CPR72EA
EBI-1246969 PCAF
NEJ CG4911
CG13084 BAP60
OFS CPR72EA
CG33275 CG5362
EBI-194372 SDHB
GRP CG17162
LMPT CG9014
EBI-199603 NUP58
CG7928 CG15631
SGT POLE2
EBI-105310 EBI-117860
DLC90F CG10990
P130CAS GRIP71
EBI-196643 IMPE1
CG8455 CG9027
SYX16 TRL
CG2224 ACF1
TIF-IA HSP68
EBI-165118 CG15308
CG2052 CG6393
CG6654 CG6543
C901 EBI-168011
SNCF CG8929
AGO S6K
STET S
USF CG6685
CYCK S
CG14534 SOP
CG6972 HLH4C
CDC2 CYCE
EBI-199603 EF2B
SYX16 CG11873
EBI-115621 CG31619
PP1ALPHA-96A EBI-121909
MER SU(HW)
CG13889 AATS-PHE
DL TAMO
U2AF38 CG7971
FLW PLAP
CG10943 CANA
CG17134 GBETA76C
GM130 EBI-161439
CG14546 CG9418
CG4617 RPL15
EBI-128171 CG14767
CG14119 YP2
EBI-163074 CG14869
CG14246 CG15631
ECD EBI-160257
CG15561 EBI-86340
CG10418 CG2021
CG14840 EBI-114041
CG5555 CG5555
CDLC2 OSI6
ELAV ELAV
SKPC CG9316
ARPC3B CG14126
SMG6 ALD
CG1745 SU(VAR)205
EBI-176747 EBI-128409
KOKO FRY
MCM5 CG15676
CG15167 RPL21
RAPS CG7323
CG17667 MP1
MAM CG4589
EBI-151243 EBI-83388
CG12256 TOLLO
CG9776 EBI-185260
CG14323 CG15881
CG7488 CG4335
CG15771 CPR64AD
CG5149 CG11164
H HLHM3
PVF1 EBI-178970
CG8368 CYP4G1
SEC5 CG5270
SH3PX1 EBI-167768
DIP-B CAM
CG4835 HSP70AB
EBI-128409 EBI-83139
BRM DALAO
CNO R
ESN MTNB
CG9288 EF1ALPHA48D
VHA26 VHA13
CG17777 CG31217
EBI-90118 BAP60
CG12491 CG5478
CG32159 EBI-195768
EBI-102987 EBI-189914
CG1193 EBI-177531
C901 BRK
CG32486 CG6543
CG3630 SOL
CG13581 CALX
DL KUZ
CG8368 PXT
L(2)03709 CG3731
STC EBI-122840
TH RPR
MSI GS1
IRE-1 CG8310
HOE1 PP2B-14D
MEI-9 MUS312
HOMER EBI-150176
DIP2 X11L
ALPHA-CATENIN-RELATED EBI-161602
DX EBI-190547
STY BSH
PABP KIN17
EBI-139287 EIF-4A
CG6443 EBI-204491
EBI-167768 EBI-85750
EBI-530681 CG3919
CG17244 MES4
CG6443 MTS
HLHM5 TAP
P130CAS CG5525
TBPH EBI-186095
CG18304 EBI-117860
E2F2 RPS3A
VHA16 SSRBETA
CG2278 NCA
CG9754 CG6359
CG7928 CG2712
PLU CYCE
MRPL45 PXT
